PMID,Title,Abstract,Date
40286246,Investigation of Anticancer Peptides Derived from <i>Arca</i> Species Using In Silico Analysis.,"This study employed an integrated in silico approach to identify and characterize anticancer peptides (ACPs) derived from <i>Arca</i> species. Using a comprehensive bioinformatics pipeline (BIOPEP, ToxinPred, ProtParam, ChemDraw, SwissTargetPrediction, and I-TASSER), we screened hydrolyzed bioactive peptides from <i>Arca</i> species, identifying seventeen novel peptide candidates. Subsequent in vitro validation revealed three peptides (KW, WQIWYK, KGKWQIWYKSL) with significant anticancer activity, demonstrating both high biosafety and clinical potential. Our findings highlight <i>Arca</i> species proteins as a valuable source of therapeutic ACPs and establish bioinformatics as an efficient strategy for rapid discovery of bioactive peptides. This approach combines computational prediction with experimental validation, offering a robust framework for developing novel peptide-based therapeutics.",2025-04-07
40279769,"A comprehensive review of small molecules, targets, and pathways in ulcerative colitis treatment.","Ulcerative colitis (UC), a chronic inflammatory bowel disease (IBD), poses significant clinical challenges because of its complex pathophysiology, long-term nature, and the limited efficacy of existing treatments. Small-molecule compounds, particularly those that are able to modulate inflammation-related signaling pathways and, in many cases, occur in nature, offer a promising alternative or supplement to conventional therapies. Studies on molecules for UC therapeutics reported in 1394 publications over the past 30 years were collected from the Web of Science (WOS) database. Only studies that verified therapeutic efficacy through animal experiments were included. Through an analysis of the molecular classes, structures, common targets, and pathways using network pharmacology, we identified 14 classes of compounds, 5 direct-target modules, and 3 crucial downstream pathways. Alkaloids, phenylpropanoids, flavonoids, and terpenes (and their derivatives) appeared most frequently and mainly targeted lipid metabolism, oxidative stress, immune regulation, signaling transduction, and cancer-related pathways. Notably, there has been an increasing trend of applying naturally sourced compounds in both preclinical and clinical trials, especially flavonoids, over the last five years. Although progress in UC research has been made, the majority of studies have focused on the overall therapeutic effects and biomarker alterations, with limited emphasis on the direct targets and underlying mechanisms. These findings highlight the need to explore novel small-molecule therapeutic strategies for UC, focusing on clearly defined targets and precise modes of action.",2025-04-15
40269496,High-throughput screen identifies MAS9 as a novel inhibitor of the C-type lectin receptor-2 (CLEC-2)-podoplanin interaction.,"The C-type lectin-like receptor-2 (CLEC-2) is a platelet receptor for the endogenous ligand podoplanin. This interaction contributes to several (patho)physiological processes, such as lymphangiogenesis, preservation of blood and lymphatic vessel integrity organ development, and tumour metastasis. Activation of CLEC-2 leads to the phosphorylation of its cytoplasmic hemITAM domain and initiates a signalling cascade involving the kinase Syk. The aim of this study was to identify and characterise a novel small molecule inhibitor of CLEC-2.",2025-04-23
40262387,Positional isoform analysis of PEGylated biotherapeutic protein using a novel peptide-based reversed-phase liquid chromatography with UV detection.,"PEGylation, the covalent attachment of poly(ethylene glycol) (PEG) to biomolecules, is a well-established molecular modification strategy that enhances the pharmacological properties of conjugated proteins by improving stability, reducing immunogenicity, extending half-life, and increasing solubility. Despite its benefits, PEGylated proteins are often heterogeneous mixtures containing positional isoforms that are challenging to eliminate and can significantly impact the biological activity of drugs. This study developed a reversed-phase ultra-performance liquid chromatography (RP-UPLC) method for the separation and quantification of positional isoforms in commercial PEGylated recombinant human growth hormone (PEG-rhGH) at the peptide level. In this strategy, PEG-rhGH was digested into peptides via trypsin treatment and then separated and quantified using RP-UPLC. Under the chromatography condition optimized from Quality by Design (QbD) principles, this method can effectively distinguish the PEGylated peptides in five isomers. MALDI-TOF MS, SDS-PAGE and Edman degradation indicated that each of these five isomers was conjugated with one 40 kDa branched PEG at a specific lysine residue and the N-terminal. Through the concentration correction of PEGylated peptides varying in sequence lengths, the proportion of five modified sites can be quantified. The comparative assay showed that this strategy effectively addresses the limitations of the commonly used IEC method, especially under challenging conditions like post-translational modifications (e.g., oxidation, deamidation, and cyclization) and conformational changes. As a result, it offers improved robustness and accuracy. Furthermore, the proposed RP-UPLC method exhibited outstanding repeatability across various storage conditions, making it a reliable tool for quality control and product release in the biopharmaceutical industry.",2025-04-17
40257351,Radiosynthesis and Evaluation of a Novel <sup>68</sup>Ga-Labeled Peptide for PD-L1-Targeted PET Imaging.,"Although programmed death-ligand 1 (PD-L1)-targeted immunotherapy has demonstrated favorable therapeutic effects, concern regarding a low response rate persists. Our study aimed to develop a novel peptide probe for PD-L1 targeting positron emission tomography (PET)/computed tomography (CT) imaging as an alternative for assessing PD-L1 expression and exploring its potential role in guiding PD-L1 immunotherapy <i>in vivo</i>. The probe targeting PD-L1 was obtained by modifying 1,4,7,10-tetraazacyclododecane-1,4,7,10-tetraacetic acid (DOTA) with the peptide CCC, followed by labeling with <sup>68</sup>Ga. Radiochemical purity, log <i>P</i>, pharmacokinetics, and stability of the probe were evaluated <i>in vitro</i> and <i>in vivo</i>. The systematic evaluation of the probe performance included microPET/CT imaging, biodistribution, biosafety, and an investigation of its use in immunotherapy monitoring. <sup>68</sup>Ga-DOTA-CCC was successfully synthesized with over 99% radiochemical purity, eliminating the need for purification. The probe exhibited good hydrophilicity and stability and was rapidly metabolized with a short blood clearance half-life of 16.1 ± 0.5 min. Additionally, the probe exhibited an excellent PD-L1 targeting ability, with tumor uptake positively correlating with PD-L1 expression levels in both cellular experiments and microPET/CT imaging. Moreover, the dynamic expression of PD-L1 was assessed using <sup>68</sup>Ga-DOTA-CCC during atezolizumab administration. <sup>68</sup>Ga-DOTA-CCC accurately reflects PD-L1 expression and holds promise for precisely guiding PD-L1-targeted immunotherapy.",2025-04-21
40257194,Dysregulation of miR-330-3p is Involved in the Occurrence and Development of Pulmonary Arterial Hypertension Caused by Congenital Heart Disease.,The study aimed to investigate the expression of miR-330-3p and its clinical and functional performance in congenital heart disease-associated pulmonary hypertension (CHD-PAH).,2025-04-21
40239269,Identification of novel small molecule chaperone activators for neurodegenerative disease treatment.,"A pathological hallmark of neurodegenerative disease is the accumulation of aberrant protein aggregates which contribute to the cytotoxicity and are therefore a target for therapy development. One key mechanism to manage cellular protein homeostasis is heat shock proteins (HSPs), protein chaperones which are known to target aberrant protein accumulation. Activation of HSPs target aberrant TDP-43, tau and amyloid to rescue neurodegenerative disease. As an attempt to target HSP activation for neurodegeneration therapy, we here develop a drug screening assay to identify compounds that will activate the master regulator of HSPs, the transcription factor heat shock factor 1 (HSF1). As HSF1 is bound by HSP90 which prevents its activation, we developed a NanoBRET assay, which allows us to monitor and quantify the HSF1-HSP90 interaction in living cells to screen for compounds disrupting this interaction and thereby releasing HSF1 for activation. After the optimisation and validation of the assay, a two thousand compound library was screened which produced 10 hits including two known HSP90 inhibitors. Follow-up functional study showed that one of the hits oxyphenbutazone (OPB) significantly reduces the accumulation of insoluble TDP-43 in a cell model, eliciting no signs of stress or toxicity. Overall, this study demonstrates a viable strategy for new drug discovery in targeting aberrant proteins and identifies potential candidates for translation into neurodegenerative disease treatment.",2025-04-15
40236546,"Targeting Oncogenic Pathways: Advances in KRAS, CDK, EGFR, and PROTAC-Based Therapies.","Recent advancements in cancer therapy focus on targeting critical mutations and regulatory pathways, particularly KRAS mutations and cyclin-dependent kinases (CDKs), which drive cancer progression. This Patent Highlight showcases the development of novel small-molecule inhibitors for KRAS and CDKs, highlighting their mechanisms of action, critical findings from preclinical studies, and the potential for improving therapeutic outcomes in cancers such as nonsmall cell lung cancer (NSCLC), colorectal, and pancreatic cancers.",2025-03-11
40229415,A novel peptide RR-171 derived from human umbilical cord serum induces apoptosis and pyroptosis in pancreatic cancer cells.,"Human umbilical cord serum is full of molecules that play vital roles in foetal development. This study aimed to explore the effects of RR-171, a novel peptide derived from umbilical cord serum, on pancreatic cancer cells and to elucidate its mechanisms. The anti-pancreatic cancer properties of RR-171 were detected by a cell counting kit-8, colony formation, flow cytometry, LDH release and EdU incorporation assays. RNA sequencing and gene enrichment analysis were applied to identify the differentially expressed genes and enriched pathways. Western blotting analysis was used to detect the expression of proteins. A subcutaneous xenograft model was used to examine the effect of RR-171 on pancreatic cancer cells in vivo. The results demonstrated that RR-171 inhibited the viability, proliferation and colony formation of pancreatic cancer cells in a dose-dependent manner. Gene enrichment analysis revealed that RR-171 inhibits the Wnt signaling pathway. Moreover, RR-171 significantly induced apoptosis and pyroptosis in pancreatic cancer cells in a dose-dependent manner. Z-VAD-FMK partly reversed the proapoptotic effect of RR-171, and VX-765 partly reversed the pro-pyroptotic effect of RR-171. Finally, RR-171 inhibited the growth of pancreatic cancer cells in a subcutaneous xenograft mice model and suppressed the expression of Ki-67 and PCNA in tumors. In conclusion, RR-171 induces apoptosis and pyroptosis through multiple pathways and inhibits pancreatic cancer growth, suggesting that RR-171 might be a potential agent for the treatment of pancreatic cancer.",2025-04-14
40228125,The emergence and loss of cyclic peptides in <i>Nicotiana</i> illuminate dynamics and mechanisms of plant metabolic evolution.,"Specialized metabolism plays a central role in how plants cope with both biotic and abiotic stresses in order to survive and reproduce within dynamic and challenging environments. One recently described class of plant-specific, ribosomally synthesized, and posttranslationally modified peptides are the burpitides, which are characterized by the installation of distinct sidechain macrocycles by enzymes known as burpitide cyclases. While they are found across many plant families and exhibit diverse bioactivities, little is known about their evolution or how new variants arise. Here, we present the identification of a burpitide cyclase, resurrected from a defunct pseudogene from the model organism <i>Nicotiana attenuata</i>, the coyote tobacco. By repairing the pseudogene <i>ΨNatBURP2</i> and expressing it heterologously in <i>Nicotiana benthamiana</i>, we successfully reconstituted its original enzymatic activity. As an autocatalytic peptide cyclase, it installs a unique C-C bond between the tyrosine side chain and a specific backbone α-carbon of a heptapeptide core motif, resulting in burpitides dubbed ""nanamins."" Despite its pseudogenization in <i>N. attenuata</i>, we found that the closely related species, <i>Nicotiana clevelandii</i>, retains the wild-type gene and produces nanamins. Phylogenetic analyses and targeted mutagenesis experiments reveal that this chemotype must have evolved from the duplication and neofunctionalization of a more promiscuous ancestral gene. This work highlights how novel peptide chemotypes may rapidly emerge and disappear in plants, while expanding the molecular toolkit for engineering novel peptides with applications in agriculture and drug discovery.",2025-04-14
